naics,date,sales,inventories
4237,2023-09-01,19618.0,44324.0
4237,2022-04-01,19156.0,44465.0
4237,2022-10-01,19152.0,46667.0
4237,2019-09-01,14384.0,29192.0
4237,2019-01-01,12593.0,28486.0
4237,2019-02-01,12094.0,28748.0
4237,2019-03-01,13569.0,29179.0
4237,2019-04-01,14149.0,29350.0
4237,2019-05-01,15430.0,29476.0
4237,2019-06-01,14977.0,29157.0
4237,2019-07-01,15604.0,29053.0
4237,2019-08-01,15101.0,29336.0
4237,2019-10-01,14878.0,28961.0
4237,2019-11-01,12878.0,28706.0
4237,2019-12-01,12501.0,28954.0
4237,2020-01-01,12794.0,29328.0
4237,2020-02-01,12529.0,29630.0
4237,2020-03-01,13625.0,29953.0
4237,2020-04-01,12295.0,29889.0
4237,2020-05-01,13583.0,29087.0
4237,2020-06-01,16560.0,28205.0
4237,2020-07-01,16354.0,28270.0
4237,2020-08-01,15306.0,28513.0
4237,2020-09-01,15764.0,29045.0
4237,2020-10-01,15353.0,29999.0
4237,2020-11-01,13815.0,30006.0
4237,2020-12-01,14518.0,30236.0
4237,2022-01-01,16555.0,39252.0
4237,2022-02-01,16654.0,40724.0
4237,2022-03-01,20249.0,42984.0
4237,2022-05-01,20357.0,45669.0
4237,2022-06-01,22142.0,45403.0
4237,2022-07-01,19857.0,46075.0
4237,2022-08-01,21600.0,46878.0
4237,2022-09-01,19457.0,46397.0
4237,2022-11-01,18180.0,46627.0
4237,2022-12-01,17603.0,46196.0
4237,2023-01-01,17373.0,46027.0
4237,2023-02-01,17076.0,46676.0
4237,2023-03-01,20001.0,47098.0
4237,2023-04-01,18414.0,46769.0
4237,2023-05-01,20805.0,46765.0
4237,2023-06-01,21297.0,45618.0
4237,2023-07-01,19645.0,44996.0
4237,2023-08-01,21256.0,45327.0
4237,2023-10-01,20156.0,43733.0
4237,2023-11-01,17910.0,43071.0
4237,2023-12-01,16751.0,42480.0
4237,2021-01-01,13645.0,31137.0
4237,2021-02-01,13824.0,31789.0
4237,2021-03-01,17499.0,32832.0
4237,2021-04-01,17523.0,33250.0
4237,2021-05-01,17459.0,33639.0
4237,2021-06-01,19771.0,33493.0
4237,2021-07-01,18030.0,34048.0
4237,2021-08-01,18313.0,34809.0
4237,2021-09-01,17597.0,35678.0
4237,2021-10-01,17456.0,36699.0
4237,2021-11-01,16847.0,37708.0
4237,2021-12-01,16613.0,38226.0
4237,2026-02-01,20127.0,45029.0
4237,2026-07-01,25681.0,47978.0
4237,2025-01-01,19235.0,43019.0
4237,2025-02-01,18780.0,44315.0
4237,2025-03-01,20524.0,45817.0
4237,2025-04-01,22125.0,47067.0
4237,2025-05-01,22082.0,47796.0
4237,2025-06-01,23900.0,47111.0
4237,2025-07-01,24729.0,46573.0
4237,2025-08-01,22748.0,46972.0
4237,2025-09-01,22910.0,46145.0
4237,2025-10-01,22120.0,45456.0
4237,2025-11-01,18682.0,44612.0
4237,2025-12-01,20140.0,44343.0
4237,2024-01-01,17719.0,42718.0
4237,2024-02-01,18059.0,43418.0
4237,2024-03-01,19296.0,43736.0
4237,2024-04-01,20462.0,44236.0
4237,2024-05-01,21763.0,44131.0
4237,2024-06-01,22054.0,43512.0
4237,2024-07-01,22558.0,43073.0
4237,2024-08-01,21813.0,43872.0
4237,2024-09-01,20588.0,43680.0
4237,2024-10-01,21564.0,43183.0
4237,2024-11-01,19086.0,43187.0
4237,2024-12-01,19367.0,42673.0
4237,2026-03-01,23395.0,46444.0
4237,2026-04-01,23633.0,47194.0
4237,2026-05-01,22843.0,47778.0
4237,2026-06-01,26113.0,48129.0
4237,2026-01-01,19046.0,43958.0
