series_id,date,value
PCU423700423700,2019-01-01,96.6
PCU423700423700,2019-02-01,100.0
PCU423700423700,2019-03-01,100.1
PCU423700423700,2019-04-01,99.1
PCU423700423700,2019-05-01,100.0
PCU423700423700,2019-06-01,96.8
PCU423700423700,2019-07-01,96.0
PCU423700423700,2019-08-01,95.5
PCU423700423700,2019-09-01,99.2
PCU423700423700,2019-10-01,98.1
PCU423700423700,2019-11-01,97.0
PCU423700423700,2019-12-01,95.8
PCU423700423700,2020-01-01,98.8
PCU423700423700,2020-02-01,97.2
PCU423700423700,2020-03-01,99.6
PCU423700423700,2020-04-01,98.7
PCU423700423700,2020-05-01,101.2
PCU423700423700,2020-06-01,98.4
PCU423700423700,2020-07-01,99.4
PCU423700423700,2020-08-01,100.8
PCU423700423700,2020-09-01,103.9
PCU423700423700,2020-10-01,102.0
PCU423700423700,2020-11-01,100.5
PCU423700423700,2020-12-01,99.9
PCU423700423700,2021-01-01,104.5
PCU423700423700,2021-02-01,106.5
PCU423700423700,2021-03-01,108.7
PCU423700423700,2021-04-01,111.8
PCU423700423700,2021-05-01,113.9
PCU423700423700,2021-06-01,117.8
PCU423700423700,2021-07-01,120.559
PCU423700423700,2021-08-01,120.986
PCU423700423700,2021-09-01,121.936
PCU423700423700,2021-10-01,125.424
PCU423700423700,2021-11-01,128.571
PCU423700423700,2021-12-01,128.744
PCU423700423700,2022-01-01,127.927
PCU423700423700,2022-02-01,126.354
PCU423700423700,2022-03-01,129.053
PCU423700423700,2022-04-01,130.122
PCU423700423700,2022-05-01,132.167
PCU423700423700,2022-06-01,130.47
PCU423700423700,2022-07-01,116.137
PCU423700423700,2022-08-01,113.204
PCU423700423700,2022-09-01,113.598
PCU423700423700,2022-10-01,116.038
PCU423700423700,2022-11-01,119.964
PCU423700423700,2022-12-01,121.656
PCU423700423700,2023-01-01,118.301
PCU423700423700,2023-02-01,119.062
PCU423700423700,2023-03-01,116.64
PCU423700423700,2023-04-01,116.16
PCU423700423700,2023-05-01,114.114
PCU423700423700,2023-06-01,117.119
PCU423700423700,2023-07-01,121.265
PCU423700423700,2023-08-01,122.533
PCU423700423700,2023-09-01,119.03
PCU423700423700,2023-10-01,124.929
PCU423700423700,2023-11-01,126.442
PCU423700423700,2023-12-01,126.152
PCU423700423700,2024-01-01,124.778
PCU423700423700,2024-02-01,122.919
PCU423700423700,2024-03-01,120.735
PCU423700423700,2024-04-01,120.555
PCU423700423700,2024-05-01,126.153
PCU423700423700,2024-06-01,126.862
PCU423700423700,2024-07-01,122.956
PCU423700423700,2024-08-01,124.871
PCU423700423700,2024-09-01,128.875
PCU423700423700,2024-10-01,126.82
PCU423700423700,2024-11-01,124.383
PCU423700423700,2024-12-01,120.965
PCU423700423700,2025-01-01,120.736
PCU423700423700,2025-02-01,120.298
PCU423700423700,2025-03-01,115.522
PCU423700423700,2025-04-01,119.433
PCU423700423700,2025-05-01,126.988
PCU423700423700,2025-06-01,129.706
PCU423700423700,2025-07-01,130.225
PCU423700423700,2025-08-01,130.547
PCU423700423700,2025-09-01,130.293
PCU423700423700,2025-10-01,128.007
PCU423700423700,2025-11-01,126.798
PCU423700423700,2025-12-01,134.19
PCU423700423700,2026-01-01,136.539
PCU423700423700,2026-02-01,137.36
PCU423700423700,2026-03-01,125.072
PCU423700423700,2026-04-01,125.523
PCU423700423700,2026-05-01,130.299
PCU423700423700,2026-06-01,125.364
PCU423700423700,2026-07-01,124.335
PCU423700423700,2026-08-01,122.843
PCU4237004237001,2019-01-01,100.0
PCU4237004237001,2019-02-01,103.6
PCU4237004237001,2019-03-01,103.7
PCU4237004237001,2019-04-01,102.7
PCU4237004237001,2019-05-01,103.6
PCU4237004237001,2019-06-01,100.2
PCU4237004237001,2019-07-01,99.3
PCU4237004237001,2019-08-01,98.7
PCU4237004237001,2019-09-01,103.2
PCU4237004237001,2019-10-01,101.9
PCU4237004237001,2019-11-01,100.5
PCU4237004237001,2019-12-01,99.1
PCU4237004237001,2020-01-01,102.0
PCU4237004237001,2020-02-01,100.2
PCU4237004237001,2020-03-01,103.1
PCU4237004237001,2020-04-01,101.9
PCU4237004237001,2020-05-01,105.0
PCU4237004237001,2020-06-01,101.2
PCU4237004237001,2020-07-01,102.5
PCU4237004237001,2020-08-01,103.8
PCU4237004237001,2020-09-01,107.5
PCU4237004237001,2020-10-01,105.3
PCU4237004237001,2020-11-01,103.5
PCU4237004237001,2020-12-01,103.1
PCU4237004237001,2021-01-01,107.5
PCU4237004237001,2021-02-01,110.5
PCU4237004237001,2021-03-01,112.2
PCU4237004237001,2021-04-01,115.4
PCU4237004237001,2021-05-01,117.7
PCU4237004237001,2021-06-01,122.2
PCU4237004237001,2021-07-01,124.552
PCU4237004237001,2021-08-01,123.931
PCU4237004237001,2021-09-01,124.772
PCU4237004237001,2021-10-01,128.615
PCU4237004237001,2021-11-01,130.253
PCU4237004237001,2021-12-01,130.21
PCU4237004237001,2022-01-01,128.791
PCU4237004237001,2022-02-01,126.548
PCU4237004237001,2022-03-01,131.1
PCU4237004237001,2022-04-01,131.698
PCU4237004237001,2022-05-01,134.674
PCU4237004237001,2022-06-01,132.725
PCU4237004237001,2022-07-01,132.468
PCU4237004237001,2022-08-01,128.884
PCU4237004237001,2022-09-01,129.365
PCU4237004237001,2022-10-01,132.347
PCU4237004237001,2022-11-01,137.144
PCU4237004237001,2022-12-01,140.069
PCU4237004237001,2023-01-01,136.191
PCU4237004237001,2023-02-01,137.071
PCU4237004237001,2023-03-01,134.272
PCU4237004237001,2023-04-01,133.717
PCU4237004237001,2023-05-01,131.353
PCU4237004237001,2023-06-01,134.826
PCU4237004237001,2023-07-01,139.617
PCU4237004237001,2023-08-01,141.39
PCU4237004237001,2023-09-01,137.343
PCU4237004237001,2023-10-01,144.159
PCU4237004237001,2023-11-01,145.907
PCU4237004237001,2023-12-01,145.57
PCU4237004237001,2024-01-01,143.831
PCU4237004237001,2024-02-01,141.682
PCU4237004237001,2024-03-01,139.159
PCU4237004237001,2024-04-01,138.948
PCU4237004237001,2024-05-01,145.42
PCU4237004237001,2024-06-01,146.24
PCU4237004237001,2024-07-01,141.724
PCU4237004237001,2024-08-01,143.935
PCU4237004237001,2024-09-01,148.561
PCU4237004237001,2024-10-01,146.187
PCU4237004237001,2024-11-01,143.374
PCU4237004237001,2024-12-01,139.423
PCU4237004237001,2025-01-01,139.057
PCU4237004237001,2025-02-01,138.551
PCU4237004237001,2025-03-01,133.035
PCU4237004237001,2025-04-01,137.55
PCU4237004237001,2025-05-01,146.277
PCU4237004237001,2025-06-01,149.422
PCU4237004237001,2025-07-01,150.018
PCU4237004237001,2025-08-01,150.385
PCU4237004237001,2025-09-01,150.091
PCU4237004237001,2025-10-01,147.45
PCU4237004237001,2025-11-01,146.052
PCU4237004237001,2025-12-01,154.595
PCU4237004237001,2026-01-01,157.309
PCU4237004237001,2026-02-01,158.257
PCU4237004237001,2026-03-01,144.058
PCU4237004237001,2026-04-01,144.579
PCU4237004237001,2026-05-01,150.098
PCU4237004237001,2026-06-01,144.395
PCU4237004237001,2026-07-01,143.206
PCU4237004237001,2026-08-01,141.582
IPUGN4237T300000000,2019-01-01,149481.976
IPUGN4237T300000000,2020-01-01,151424.982
IPUGN4237T300000000,2021-01-01,179795.929
IPUGN4237T300000000,2022-01-01,203606.368
IPUGN4237T300000000,2023-01-01,214745.245
IPUGN4237T300000000,2024-01-01,204844.867
IPUGN4237T300000000,2025-01-01,216285.62
